Latitude,Longitude,Borough,Ward ID,Borough ID,Ward,Point Order,Sub Polygon Id
51.5579,0.1439,Barking and Dagenham,E05000040,E09000002,Valence,8,1
51.5553,0.144,Barking and Dagenham,E05000040,E09000002,Valence,9,1
51.5551,0.1288,Barking and Dagenham,E05000040,E09000002,Valence,10,1
51.5563,0.1293,Barking and Dagenham,E05000040,E09000002,Valence,11,1
51.5614,0.1255,Barking and Dagenham,E05000040,E09000002,Valence,12,1
51.5638,0.1266,Barking and Dagenham,E05000040,E09000002,Valence,13,1
51.5411,0.1495,Barking and Dagenham,E05000041,E09000002,Village,1,1
51.5428,0.1632,Barking and Dagenham,E05000041,E09000002,Village,2,1
51.5471,0.1877,Barking and Dagenham,E05000041,E09000002,Village,3,1
51.5432,0.1817,Barking and Dagenham,E05000041,E09000002,Village,4,1
51.5398,0.1809,Barking and Dagenham,E05000041,E09000002,Village,5,1
51.5369,0.1754,Barking and Dagenham,E05000041,E09000002,Village,6,1
51.5321,0.1724,Barking and Dagenham,E05000041,E09000002,Village,7,1
51.5283,0.1676,Barking and Dagenham,E05000041,E09000002,Village,8,1
51.5343,0.1606,Barking and Dagenham,E05000041,E09000002,Village,9,1
51.5358,0.1546,Barking and Dagenham,E05000041,E09000002,Village,10,1
51.5396,0.1546,Barking and Dagenham,E05000041,E09000002,Village,11,1
51.5397,0.1498,Barking and Dagenham,E05000041,E09000002,Village,12,1
51.5411,0.1495,Barking and Dagenham,E05000041,E09000002,Village,13,1
51.5656,0.1559,Barking and Dagenham,E05000042,E09000002,Whalebone,1,1
51.5651,0.1521,Barking and Dagenham,E05000042,E09000002,Whalebone,2,1
51.5609,0.1516,Barking and Dagenham,E05000042,E09000002,Whalebone,3,1
51.5606,0.1495,Barking and Dagenham,E05000042,E09000002,Whalebone,4,1
51.5608,0.1378,Barking and Dagenham,E05000042,E09000002,Whalebone,5,1
51.5627,0.1392,Barking and Dagenham,E05000042,E09000002,Whalebone,6,1
51.5666,0.1386,Barking and Dagenham,E05000042,E09000002,Whalebone,7,1
51.566,0.131,Barking and Dagenham,E05000042,E09000002,Whalebone,8,1
51.5676,0.1313,Barking and Dagenham,E05000042,E09000002,Whalebone,9,1
51.5702,0.1317,Barking and Dagenham,E05000042,E09000002,Whalebone,10,1
51.5717,0.1436,Barking and Dagenham,E05000042,E09000002,Whalebone,11,1
51.5747,0.1435,Barking and Dagenham,E05000042,E09000002,Whalebone,12,1
51.5752,0.1486,Barking and Dagenham,E05000042,E09000002,Whalebone,13,1
51.5692,0.1514,Barking and Dagenham,E05000042,E09000002,Whalebone,14,1
51.5656,0.1559,Barking and Dagenham,E05000042,E09000002,Whalebone,15,1
51.6223,-0.15,Barnet,E05000043,E09000003,Brunswick Park,1,1
51.6331,-0.1606,Barnet,E05000043,E09000003,Brunswick Park,2,1
51.6364,-0.1561,Barnet,E05000043,E09000003,Brunswick Park,3,1
51.6337,-0.1514,Barnet,E05000043,E09000003,Brunswick Park,4,1
51.6361,-0.1479,Barnet,E05000043,E09000003,Brunswick Park,5,1
51.6388,-0.1407,Barnet,E05000043,E09000003,Brunswick Park,6,1
51.636,-0.1368,Barnet,E05000043,E09000003,Brunswick Park,7,1
51.6326,-0.1314,Barnet,E05000043,E09000003,Brunswick Park,8,1
51.6318,-0.1275,Barnet,E05000043,E09000003,Brunswick Park,9,1
51.6235,-0.1326,Barnet,E05000043,E09000003,Brunswick Park,10,1
51.6212,-0.1339,Barnet,E05000043,E09000003,Brunswick Park,11,1
51.6157,-0.1404,Barnet,E05000043,E09000003,Brunswick Park,12,1
51.615,-0.1429,Barnet,E05000043,E09000003,Brunswick Park,13,1
51.6223,-0.15,Barnet,E05000043,E09000003,Brunswick Park,14,1
51.6067,-0.2461,Barnet,E05000044,E09000003,Burnt Oak,1,1
51.6055,-0.2484,Barnet,E05000044,E09000003,Burnt Oak,2,1
51.6006,-0.2492,Barnet,E05000044,E09000003,Burnt Oak,3,1
51.6006,-0.2457,Barnet,E05000044,E09000003,Burnt Oak,4,1
51.5937,-0.2582,Barnet,E05000044,E09000003,Burnt Oak,5,1
51.5999,-0.2656,Barnet,E05000044,E09000003,Burnt Oak,6,1
51.6065,-0.2733,Barnet,E05000044,E09000003,Burnt Oak,7,1
51.6079,-0.2687,Barnet,E05000044,E09000003,Burnt Oak,8,1
51.61,-0.2562,Barnet,E05000044,E09000003,Burnt Oak,9,1
51.6096,-0.2498,Barnet,E05000044,E09000003,Burnt Oak,10,1
51.6067,-0.2461,Barnet,E05000044,E09000003,Burnt Oak,11,1
51.5628,-0.2208,Barnet,E05000045,E09000003,Childs Hill,1,1
51.5642,-0.2157,Barnet,E05000045,E09000003,Childs Hill,2,1
51.5624,-0.2134,Barnet,E05000045,E09000003,Childs Hill,3,1
51.5666,-0.2051,Barnet,E05000045,E09000003,Childs Hill,4,1
51.5714,-0.2092,Barnet,E05000045,E09000003,Childs Hill,5,1
51.5752,-0.2025,Barnet,E05000045,E09000003,Childs Hill,6,1
51.5744,-0.201,Barnet,E05000045,E09000003,Childs Hill,7,1
51.5766,-0.1955,Barnet,E05000045,E09000003,Childs Hill,8,1
51.5713,-0.1939,Barnet,E05000045,E09000003,Childs Hill,9,1
51.5704,-0.1884,Barnet,E05000045,E09000003,Childs Hill,10,1
51.5675,-0.182,Barnet,E05000045,E09000003,Childs Hill,11,1
51.5646,-0.1882,Barnet,E05000045,E09000003,Childs Hill,12,1
51.5623,-0.1888,Barnet,E05000045,E09000003,Childs Hill,13,1
51.5587,-0.1952,Barnet,E05000045,E09000003,Childs Hill,14,1
51.5557,-0.1978,Barnet,E05000045,E09000003,Childs Hill,15,1
51.5548,-0.2042,Barnet,E05000045,E09000003,Childs Hill,16,1
51.5563,-0.2084,Barnet,E05000045,E09000003,Childs Hill,17,1
51.5547,-0.2119,Barnet,E05000045,E09000003,Childs Hill,18,1
51.5612,-0.2191,Barnet,E05000045,E09000003,Childs Hill,19,1
51.5628,-0.2208,Barnet,E05000045,E09000003,Childs Hill,20,1
51.5937,-0.2582,Barnet,E05000046,E09000003,Colindale,1,1
51.6006,-0.2457,Barnet,E05000046,E09000003,Colindale,2,1
51.6006,-0.2492,Barnet,E05000046,E09000003,Colindale,3,1
51.6055,-0.2484,Barnet,E05000046,E09000003,Colindale,4,1
51.6067,-0.2461,Barnet,E05000046,E09000003,Colindale,5,1
51.6078,-0.243,Barnet,E05000046,E09000003,Colindale,6,1
51.6012,-0.2369,Barnet,E05000046,E09000003,Colindale,7,1
51.5963,-0.235,Barnet,E05000046,E09000003,Colindale,8,1
51.5876,-0.2369,Barnet,E05000046,E09000003,Colindale,9,1
51.5807,-0.2377,Barnet,E05000046,E09000003,Colindale,10,1
51.5798,-0.2413,Barnet,E05000046,E09000003,Colindale,11,1
51.5839,-0.2467,Barnet,E05000046,E09000003,Colindale,12,1
51.5921,-0.2564,Barnet,E05000046,E09000003,Colindale,13,1
51.5937,-0.2582,Barnet,E05000046,E09000003,Colindale,14,1
51.6052,-0.1555,Barnet,E05000047,E09000003,Coppetts,1,1
51.6065,-0.158,Barnet,E05000047,E09000003,Coppetts,2,1
51.6113,-0.16,Barnet,E05000047,E09000003,Coppetts,3,1
51.6121,-0.1588,Barnet,E05000047,E09000003,Coppetts,4,1
51.6186,-0.1635,Barnet,E05000047,E09000003,Coppetts,5,1
51.6215,-0.1575,Barnet,E05000047,E09000003,Coppetts,6,1
51.6223,-0.15,Barnet,E05000047,E09000003,Coppetts,7,1
